Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
,,2002 NY40,APO,19.0,VISNIR,65,*,,Q,0.0686,-0.7845,0.272,0.1228,-0.0586,0.0035,2002-08-17,IRTF 3m,S-Group
,,2002 TP69,AMO,21.9,VISNIR,49,49,,S,0.1612,-0.0909,0.0492,0.0182,0.003,-0.0928,2002-12-08,TNG 3.6m,S-Group
,,2002 TS67,AMO,18.9,VISNIR,49,48,,X,0.3746,-0.5015,0.0476,-0.1242,-0.02,-0.0516,2002-12-08,TNG 3.6m,X-Group
,,2002 UN,AMO,17.2,VISNIR,49,48,,C,0.0911,-0.7909,0.0521,-0.2246,-0.0428,-0.0016,2002-12-08,TNG 3.6m,C-Group
,,2002 VP69,APO,17.9,VISNIR,49,48,,Sq,0.2318,-0.4727,0.1668,0.2075,0.0488,-0.0303,2002-12-08,TNG 3.6m,S-Group
,,2003 UB5,AMO,19.4,VISNIR,15,15,,L,0.35,0.2643,-0.3564,-0.0694,-0.0095,-0.1581,2004-01-16,TNG 3.6m,S-Group
,,2004 LU3,AMO,18.4,VISNIR,15,15,,Sr,0.1225,0.129,0.1078,0.0141,-0.2375,-0.1887,2004-07-02,TNG 3.6m,S-Group
,,2004 QD3,APO,19.4,VISNIR,76,*,,X,0.1125,-0.4751,-0.062,-0.2239,0.0112,-0.087,2005-03-03,IRTF 3m,X-Group
,,2007 RU17,APO,18.2,VISNIR,26,*,,Q,0.0024,-1.0207,0.3755,0.1624,-0.0509,0.0458,2010-10-14,IRTF 3m,S-Group
,,2008 QS11,APO,19.9,VISNIR,26,*,,L,0.2086,-0.4625,0.0105,-0.0836,-0.0083,-0.0256,2008-10-02,IRTF 3m,S-Group
